Company_ID,Audit Opinion Type,Number of Litigation Cases,Number of Violation Precursor Events,Total Assets,Cash Ratio,Retained Earnings to Total Assets Ratio,Operating Profit Margin,Profit to Cost Ratio,Growth Rate of Total Assets,Growth Rate of Return on Equity (ROE),Debt to Tangible Assets Ratio,Industry Code,City Code,Enterprise Type Code,Enterprise Age,Violation Label,graph_id
0,3,-0.197898314,-0.428270851,-0.46412029,-0.11679312,0.0447844604510412,0.453909479219024,0.1185007893611457,0.1208428445070588,0.102492453380452,1.559305749828696,31,40,5,0,0,0
1,3,-0.197898314,-0.428270851,3.392827594183558,-0.358935463,0.2042262566265067,0.2012984704048772,0.2424010548651526,-0.492862405,0.1131229645512214,1.0062735448721023,34,40,3,4,0,1
2,3,-0.158371707,3.156693014200595,-2.043503167,0.0330467788531422,-3.308555111,-3.53609165,-6.732940693,-1.85498467,0.1039968092340209,-1.648770779,30,40,5,4,1,950
3,1,0.19736775547036586,-0.428270851,-1.019954607,-0.395377422,-0.310228542,-0.233943952,1.0663869218539994,0.0168209027441217,-0.999280771,-0.918651815,39,40,0,4,0,1763
4,3,-0.1188451,-0.428270851,0.5526498024127706,-0.129292316,0.4047771604149524,0.2950699581716455,0.4386958783961348,0.2515236758675325,0.1039968092340209,0.283215620443963,34,40,3,3,0,2714
5,2,0.31594757629731957,4.590678560285621,-2.368869597,0.5766548666818325,-1.853486512,0.1411093010784884,0.3771695334558186,-0.796413804,0.157701439899366,0.7176868500071804,34,40,5,3,1,2913
6,3,-0.1188451,3.156693014200595,-0.030298384,-0.391071141,-0.187832929,-0.40047036,-1.498010467,-0.486410807,0.1039968092340209,0.8188218714672506,16,0,5,3,1,3005
7,3,-0.079318493,0.2887219220305422,1.0135855776882203,-0.196408502,0.1592521423024001,0.1880232837154662,0.2304743608678095,1.27587545859104,0.1603294476253947,0.185305031328752,44,40,3,4,0,3100
8,2,-0.197898314,-0.428270851,-0.796265187,-0.458182447,-1.220489903,-0.994640488,-0.005275569,-0.902217917,0.1039968092340209,1.1518216170648463,22,40,5,3,1,3200
9,3,-0.197898314,-0.428270851,0.200169503672721,-0.296786749,0.4175895643046863,0.2983545710896479,0.8891131189222279,0.0636660340503339,0.0985740741560479,0.4588256828895778,34,40,3,3,0,3306
10,3,-0.158371707,1.0057146950730553,0.539092867845846,0.0381362426837157,0.6254746450792694,0.2465696511661241,0.3115120812003307,0.8858431689759153,0.1021644566168431,-0.717040678,10,40,3,3,0,2
11,3,0.27642096935500166,3.873685787243108,0.7966746246174201,-0.162409615,0.2153824958047579,0.0331659223415273,-0.021926542,-0.327874786,0.1039968092340209,0.8033072114890862,18,40,3,3,1,199
12,3,0.23689436241268377,-0.428270851,-2.294306457,-0.007845412,-5.560586227,0.0855453423407077,-0.11523895,10.64128124686801,0.088804730598635,0.8516877159330427,16,40,0,3,0,300
13,3,-0.197898314,-0.428270851,-0.308215543,-0.442574107,0.5654307388877711,0.1543181019261177,0.0493541727587341,-0.268814067,0.1148812549394878,-0.895113459,23,40,3,3,0,394
